               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031251,            0.016796,           0.0043366,             0.89078,              0.8846,             0.96112,             0.60215,            0.021679,           0.0076107,          0.00053059,            0.006535,            0.006535,            0.006535
                  37,            0.032484,            0.016582,           0.0043599,             0.82115,             0.91499,             0.90196,             0.55376,            0.022402,            0.007922,          0.00072071,            0.006436,            0.006436,            0.006436
                  38,            0.031195,            0.017036,           0.0040434,             0.81648,             0.93027,             0.93517,             0.58074,            0.021373,           0.0075158,          0.00053184,            0.006337,            0.006337,            0.006337
                  39,            0.031144,             0.01639,           0.0047751,             0.85413,             0.92294,             0.96417,             0.63432,            0.021594,           0.0075238,          0.00058963,            0.006238,            0.006238,            0.006238
                  40,            0.030829,            0.016634,           0.0048134,             0.87637,              0.9397,             0.96787,             0.64569,            0.020646,           0.0073807,          0.00047795,            0.006139,            0.006139,            0.006139
                  41,            0.030967,            0.016245,           0.0039761,             0.85929,             0.92089,             0.95848,             0.61558,            0.021812,           0.0077358,          0.00057345,             0.00604,             0.00604,             0.00604
                  42,            0.031541,            0.016188,           0.0042676,              0.9276,             0.86063,             0.96391,             0.63198,            0.021336,           0.0073611,          0.00066971,            0.005941,            0.005941,            0.005941
                  43,            0.030829,            0.016602,           0.0041145,             0.93093,             0.89835,             0.96521,             0.62212,            0.020731,           0.0071642,          0.00068076,            0.005842,            0.005842,            0.005842
                  44,            0.031264,            0.016247,           0.0040877,             0.83886,             0.92042,             0.91199,             0.57481,            0.020145,           0.0071836,          0.00055142,            0.005743,            0.005743,            0.005743
                  45,             0.02986,            0.015987,           0.0035891,             0.87273,             0.92112,             0.93566,             0.59825,             0.01983,           0.0069847,          0.00045864,            0.005644,            0.005644,            0.005644
                  46,            0.030077,            0.015893,           0.0033791,             0.84661,             0.93811,             0.96715,             0.64777,            0.019767,           0.0071251,          0.00052867,            0.005545,            0.005545,            0.005545
                  47,            0.029496,            0.015537,           0.0032977,             0.87653,             0.94767,             0.97756,             0.64691,            0.019667,           0.0068649,          0.00041997,            0.005446,            0.005446,            0.005446
                  48,            0.030065,            0.015831,           0.0030184,             0.92879,             0.90864,             0.98043,             0.64022,             0.01911,             0.00659,          0.00052346,            0.005347,            0.005347,            0.005347
                  49,             0.02907,             0.01559,           0.0036113,             0.90889,             0.94751,             0.97615,             0.65901,            0.019695,           0.0069707,          0.00042196,            0.005248,            0.005248,            0.005248
                  50,            0.029427,            0.015969,           0.0032218,             0.92575,             0.92831,             0.97803,             0.64915,            0.018919,           0.0067584,          0.00049282,            0.005149,            0.005149,            0.005149
                  51,            0.029047,             0.01519,           0.0031271,             0.95488,             0.92185,             0.98378,             0.63661,             0.01896,           0.0065672,           0.0003701,             0.00505,             0.00505,             0.00505
                  52,            0.028223,             0.01551,           0.0040235,             0.88848,             0.96162,             0.98139,             0.67907,            0.018882,           0.0065931,           0.0004398,            0.004951,            0.004951,            0.004951
                  53,            0.028933,            0.015625,           0.0031832,             0.93516,             0.93243,              0.9785,             0.66461,            0.018452,           0.0065436,          0.00042797,            0.004852,            0.004852,            0.004852
                  54,            0.027684,            0.015351,           0.0031755,             0.89079,             0.96104,             0.97943,             0.68295,            0.018394,           0.0066639,           0.0004437,            0.004753,            0.004753,            0.004753
                  55,            0.028025,            0.015556,           0.0037707,             0.88439,             0.95626,               0.979,             0.66084,            0.018021,           0.0063171,          0.00040517,            0.004654,            0.004654,            0.004654
                  56,            0.027306,            0.015113,           0.0027628,             0.91366,              0.9054,              0.9748,             0.67072,            0.018301,           0.0063072,          0.00037141,            0.004555,            0.004555,            0.004555
                  57,             0.02745,            0.015255,           0.0034066,             0.93034,             0.94887,             0.98329,             0.69984,            0.017604,           0.0061987,          0.00033303,            0.004456,            0.004456,            0.004456
                  58,            0.027653,            0.014973,           0.0033537,              0.9475,             0.93462,             0.98616,             0.69289,            0.017931,           0.0061681,          0.00033784,            0.004357,            0.004357,            0.004357
                  59,            0.027044,            0.015343,           0.0031367,             0.92674,             0.96424,             0.98473,             0.66831,            0.017163,            0.006223,          0.00029788,            0.004258,            0.004258,            0.004258
                  60,            0.027157,            0.014438,           0.0025802,               0.951,             0.94763,             0.98467,             0.69419,            0.017398,           0.0062583,           0.0003642,            0.004159,            0.004159,            0.004159
                  61,             0.02631,            0.014597,           0.0040951,             0.91314,             0.97412,             0.98707,             0.71304,             0.01693,           0.0059516,          0.00033297,             0.00406,             0.00406,             0.00406
                  62,             0.02641,            0.014512,           0.0025382,             0.93458,             0.95593,             0.98537,             0.70115,            0.017254,            0.005926,          0.00027342,            0.003961,            0.003961,            0.003961
                  63,            0.026928,            0.014602,           0.0030404,             0.93234,             0.96202,             0.98464,             0.72123,            0.017218,           0.0059259,          0.00031358,            0.003862,            0.003862,            0.003862
                  64,            0.026157,            0.014595,           0.0028353,             0.93939,             0.95185,             0.98399,             0.71045,            0.017147,           0.0058372,          0.00028565,            0.003763,            0.003763,            0.003763
                  65,            0.026223,            0.014254,            0.003038,              0.9202,              0.9497,             0.98595,              0.7197,            0.016605,           0.0059648,          0.00030151,            0.003664,            0.003664,            0.003664
                  66,              0.0262,            0.014073,           0.0024118,             0.95557,             0.95725,             0.98864,             0.71792,            0.016358,           0.0057814,          0.00026066,            0.003565,            0.003565,            0.003565
                  67,            0.026058,            0.014575,           0.0021667,              0.9548,             0.95674,             0.98848,             0.71985,             0.01644,           0.0056529,           0.0002357,            0.003466,            0.003466,            0.003466
                  68,            0.025202,            0.014094,           0.0027951,              0.9592,             0.97268,              0.9908,             0.74952,            0.015952,           0.0055999,           0.0002032,            0.003367,            0.003367,            0.003367
                  69,            0.025163,            0.013862,           0.0027051,             0.94723,             0.96685,             0.98922,             0.71565,            0.016028,           0.0058461,          0.00024662,            0.003268,            0.003268,            0.003268
                  70,             0.02531,            0.013993,           0.0025271,             0.97136,             0.97626,             0.99186,             0.73036,            0.015923,           0.0054248,          0.00023684,            0.003169,            0.003169,            0.003169
                  71,            0.025153,            0.013674,           0.0021032,             0.94918,             0.98476,             0.99005,              0.7389,            0.015914,           0.0055312,          0.00021673,             0.00307,             0.00307,             0.00307
                  72,            0.024377,            0.013831,           0.0020496,             0.95542,             0.98202,             0.98991,             0.74668,             0.01537,           0.0054344,          0.00020495,            0.002971,            0.002971,            0.002971
                  73,             0.02457,            0.013536,           0.0026607,             0.95348,             0.94768,             0.98949,             0.74356,            0.015754,           0.0056152,          0.00022221,            0.002872,            0.002872,            0.002872
                  74,            0.024657,            0.013736,           0.0023398,             0.96663,             0.98051,             0.99177,              0.7564,            0.015089,            0.005348,          0.00019183,            0.002773,            0.002773,            0.002773
                  75,            0.024265,            0.013352,           0.0020538,             0.96059,             0.97371,             0.99232,             0.76732,            0.014875,           0.0051891,          0.00019272,            0.002674,            0.002674,            0.002674
                  76,            0.023765,            0.013309,           0.0023389,             0.97232,             0.98286,              0.9919,             0.73922,            0.014854,           0.0051412,          0.00018257,            0.002575,            0.002575,            0.002575
                  77,            0.023561,            0.013455,           0.0027308,              0.9621,             0.97836,             0.99094,             0.75604,            0.014775,           0.0052054,            0.000194,            0.002476,            0.002476,            0.002476
                  78,            0.024065,            0.013422,           0.0026373,             0.96632,             0.97987,             0.99169,             0.75863,            0.014561,           0.0051281,           0.0001808,            0.002377,            0.002377,            0.002377
                  79,             0.02334,            0.012934,           0.0021355,             0.96788,             0.98219,              0.9926,             0.76477,            0.014372,           0.0050006,          0.00016293,            0.002278,            0.002278,            0.002278
                  80,            0.023959,             0.01328,           0.0021491,             0.95323,              0.9879,             0.99239,             0.76071,            0.014212,           0.0050762,          0.00017029,            0.002179,            0.002179,            0.002179
                  81,            0.023314,            0.013102,           0.0021571,             0.97678,             0.97881,             0.99316,             0.76163,            0.014454,           0.0050758,          0.00018055,             0.00208,             0.00208,             0.00208
                  82,            0.022722,            0.013179,            0.002153,             0.97702,             0.98576,             0.99263,              0.7831,            0.013875,            0.004969,          0.00017316,            0.001981,            0.001981,            0.001981
                  83,            0.023046,            0.013154,           0.0017693,             0.98785,             0.97736,             0.99287,             0.78802,            0.013828,           0.0048398,          0.00015483,            0.001882,            0.001882,            0.001882
                  84,             0.02292,            0.012805,           0.0019392,             0.98006,             0.98263,             0.99328,             0.78169,            0.013764,           0.0048038,          0.00014456,            0.001783,            0.001783,            0.001783
                  85,            0.022504,            0.012772,           0.0018129,             0.97781,             0.98375,             0.99335,             0.77436,            0.013521,           0.0047931,          0.00013393,            0.001684,            0.001684,            0.001684
                  86,             0.02231,            0.012794,           0.0021164,             0.97244,             0.98594,             0.99331,             0.79456,            0.013215,           0.0047624,          0.00013257,            0.001585,            0.001585,            0.001585
                  87,            0.022865,             0.01252,           0.0014077,             0.97686,             0.98986,             0.99333,              0.7845,            0.013557,           0.0046844,          0.00012418,            0.001486,            0.001486,            0.001486
                  88,            0.022791,            0.012436,           0.0014616,             0.97932,             0.98944,             0.99351,             0.78207,            0.013482,           0.0046978,          0.00011796,            0.001387,            0.001387,            0.001387
                  89,            0.022505,            0.012694,           0.0015357,             0.97772,             0.99188,             0.99368,             0.78316,             0.01337,           0.0046843,          0.00010991,            0.001288,            0.001288,            0.001288
                  90,            0.021353,             0.01232,           0.0023675,              0.9833,             0.98368,             0.99348,             0.78903,            0.013077,           0.0046148,          0.00010871,            0.001189,            0.001189,            0.001189
                  91,            0.021074,            0.012222,           0.0015056,             0.96994,             0.98907,              0.9931,             0.78571,            0.012938,           0.0045878,           0.0001051,             0.00109,             0.00109,             0.00109
                  92,            0.022277,            0.012743,           0.0017559,              0.9893,             0.97381,             0.99352,             0.79434,             0.01283,           0.0045836,          0.00010866,            0.000991,            0.000991,            0.000991
                  93,            0.021523,            0.012153,           0.0014499,             0.97689,             0.99277,             0.99385,             0.80464,            0.012657,            0.004537,          0.00010134,            0.000892,            0.000892,            0.000892
                  94,            0.021038,            0.012198,           0.0015468,             0.98231,              0.9903,             0.99395,             0.79938,            0.012591,           0.0044955,          9.6903e-05,            0.000793,            0.000793,            0.000793
                  95,            0.021471,            0.012356,           0.0016137,             0.99151,             0.97953,             0.99386,             0.80465,             0.01236,           0.0044409,          9.5064e-05,            0.000694,            0.000694,            0.000694
                  96,            0.021451,            0.012102,           0.0013652,             0.98883,             0.97617,              0.9936,             0.79445,            0.012549,           0.0044659,          9.2874e-05,            0.000595,            0.000595,            0.000595
                  97,             0.02078,            0.012169,           0.0011856,             0.98043,             0.98991,             0.99395,             0.80243,             0.01228,           0.0044092,          8.9939e-05,            0.000496,            0.000496,            0.000496
                  98,            0.020518,            0.011782,           0.0011609,              0.9829,             0.98984,               0.994,             0.80506,            0.012298,           0.0043829,          8.4549e-05,            0.000397,            0.000397,            0.000397
                  99,            0.020602,            0.011789,           0.0011189,             0.98483,             0.98665,             0.99394,             0.80183,            0.012166,           0.0044038,          8.5615e-05,            0.000298,            0.000298,            0.000298
